date_日期,price_价格,title_名称,itemurl_商品链接,qushi_趋势,changPriceRemark_趋势变动
2021-03-02,8299.0,华硕(ASUS)天选2 15.6英寸游戏笔记本电脑(新锐龙 7nm 8核R7-5800H 16G 512G RTX3060 240Hz 100%sRGB)日蚀灰,http://item.jd.com/100010367173.html,历史最低,降幅4%
2021-03-02,8299.0,华硕(ASUS)天选2 15.6英寸游戏笔记本电脑(新锐龙 7nm 8核R7-5800H 16G 512G RTX3060 240Hz 100%sRGB)日蚀灰,http://item.jd.com/100010367173.html,历史最低,降幅4%
2021-03-03,8299.0,华硕(ASUS)天选2 15.6英寸游戏笔记本电脑(新锐龙 7nm 8核R7-5800H 16G 512G RTX3060 240Hz 100%sRGB)日蚀灰,http://item.jd.com/100010367173.html,历史最低,降幅4%
2021-03-03,8299.0,华硕(ASUS)天选2 15.6英寸游戏笔记本电脑(新锐龙 7nm 8核R7-5800H 16G 512G RTX3060 240Hz 100%sRGB)日蚀灰,http://item.jd.com/100010367173.html,历史最低,降幅4%
2021-03-04,8299.0,华硕(ASUS)天选2 15.6英寸游戏笔记本电脑(新锐龙 7nm 8核R7-5800H 16G 512G RTX3060 240Hz 100%sRGB)日蚀灰,http://item.jd.com/100010367173.html,历史最低,降幅4%
2021-03-05,8299.0,华硕(ASUS)天选2 15.6英寸游戏笔记本电脑(新锐龙 7nm 8核R7-5800H 16G 512G RTX3060 240Hz 100%sRGB)日蚀灰,http://item.jd.com/100010367173.html,历史最低,降幅4%
2021-03-06,8299.0,华硕(ASUS)天选2 15.6英寸游戏笔记本电脑(新锐龙 7nm 8核R7-5800H 16G 512G RTX3060 240Hz 100%sRGB)日蚀灰,http://item.jd.com/100010367173.html,历史最低,降幅4%
2021-03-06,8299.0,华硕(ASUS)天选2 15.6英寸游戏笔记本电脑(新锐龙 7nm 8核R7-5800H 16G 512G RTX3060 240Hz 100%sRGB)日蚀灰,http://item.jd.com/100010367173.html,历史最低,降幅4%
2021-03-07,8299.0,华硕(ASUS)天选2 15.6英寸游戏笔记本电脑(新锐龙 7nm 8核R7-5800H 16G 512G RTX3060 240Hz 100%sRGB)日蚀灰,http://item.jd.com/100010367173.html,历史最低,降幅4%
2021-03-07,8299.0,华硕(ASUS)天选2 15.6英寸游戏笔记本电脑(新锐龙 7nm 8核R7-5800H 16G 512G RTX3060 240Hz 100%sRGB)日蚀灰,http://item.jd.com/100010367173.html,历史最低,降幅4%
2021-03-08,8299.0,华硕(ASUS)天选2 15.6英寸游戏笔记本电脑(新锐龙 7nm 8核R7-5800H 16G 512G RTX3060 240Hz 100%sRGB)日蚀灰,http://item.jd.com/100010367173.html,历史最低,降幅4%
2021-03-08,8299.0,华硕(ASUS)天选2 15.6英寸游戏笔记本电脑(新锐龙 7nm 8核R7-5800H 16G 512G RTX3060 240Hz 100%sRGB)日蚀灰,http://item.jd.com/100010367173.html,历史最低,降幅4%
